Schema,Model,Actual,Predicted,Count
2class_delay_detection,LightGBM,NORMAL,DELAY,8
2class_delay_detection,LightGBM,DELAY,NORMAL,42
2class_delay_detection,LightGBM,DELAY,DELAY,1
2class_delay_detection,CatBoost,NORMAL,NORMAL,2502
2class_delay_detection,CatBoost,NORMAL,DELAY,7
2class_delay_detection,CatBoost,DELAY,NORMAL,42
2class_delay_detection,CatBoost,DELAY,DELAY,1
2class_delay_detection,XGBoost,NORMAL,NORMAL,2509
2class_delay_detection,XGBoost,NORMAL,DELAY,0
2class_delay_detection,XGBoost,DELAY,NORMAL,43
2class_delay_detection,XGBoost,DELAY,DELAY,0
2class_delay_detection,RandomForest,NORMAL,NORMAL,2506
2class_delay_detection,RandomForest,NORMAL,DELAY,3
2class_delay_detection,RandomForest,DELAY,NORMAL,43
2class_delay_detection,RandomForest,DELAY,DELAY,0
2class_delay_detection,ExtraTrees,NORMAL,NORMAL,2428
2class_delay_detection,ExtraTrees,NORMAL,DELAY,81
2class_delay_detection,ExtraTrees,DELAY,NORMAL,40
2class_delay_detection,ExtraTrees,DELAY,DELAY,3
2class_delay_detection,BalancedRandomForest,NORMAL,NORMAL,2225
2class_delay_detection,BalancedRandomForest,NORMAL,DELAY,284
2class_delay_detection,BalancedRandomForest,DELAY,NORMAL,27
2class_delay_detection,BalancedRandomForest,DELAY,DELAY,16
