Model,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_F1,ROC_AUC_OVR,Precision_NORMAL,Recall_NORMAL,F1_NORMAL,Precision_LONG,Recall_LONG,F1_LONG,Precision_DELAY,Recall_DELAY,F1_DELAY,Precision_SHUTDOWN,Recall_SHUTDOWN,F1_SHUTDOWN,Abnormal_Recall,Schema,ROC_AUC,Precision_ABNORMAL,Recall_ABNORMAL,F1_ABNORMAL
BalancedRandomForest,0.8554075235109718,0.5558147084626414,0.6533251231527093,0.566803982859627,0.8882443161822963,,0.9699863574351978,0.875615763546798,0.920388349514563,,,,,,,,,,0.43103448275862066,2class_normal_vs_abnormal,0.736120548100334,0.141643059490085,0.43103448275862066,0.21321961620469082
XGBoost,0.954153605015674,0.7139923424991299,0.5326354679802956,0.5483821200557217,0.9375470002157422,,0.9573964497041421,0.9963054187192119,0.9764634882317441,,,,,,,,,,0.06896551724137931,2class_normal_vs_abnormal,0.7093879168789989,0.47058823529411764,0.06896551724137931,0.12030075187969924
CatBoost,0.9200626959247649,0.4374271402550091,0.46292732215909865,0.44558431992230735,0.9248085049057938,0.3647909368755595,0.9658333333333333,0.951559934318555,0.9586435070306039,,,,0.21311475409836064,0.3291139240506329,0.25870646766169153,0.13333333333333333,0.10810810810810811,0.11940298507462686,0.2186110160793705,3class_phase16,,,,
ExtraTrees,0.8855799373040752,0.38629477404166107,0.4134355406725551,0.3932059597503233,0.9034267739066323,0.4012717896123033,0.9609274366680979,0.9187192118226601,0.9393494228751311,,,,0.17117117117117117,0.24050632911392406,0.2,0.026785714285714284,0.08108108108108109,0.040268456375838924,0.16079370509750257,3class_phase16,,,,
LightGBM,0.9474921630094044,0.4150148097516519,0.3798611544137515,0.3905493594372677,0.9352000730941015,0.36401759620161994,0.9593301435406698,0.9876847290640394,0.9733009708737864,,,,0.2857142857142857,0.1518987341772152,0.19834710743801653,0.0,0.0,0.0,0.0759493670886076,3class_phase16,,,,
XGBoost,0.9549373040752351,0.8063284233496999,0.36683777997614747,0.38671572727381465,0.9374688849583093,0.3740835688832749,0.9574468085106383,0.9975369458128078,0.97708082026538,,,,0.46153846153846156,0.0759493670886076,0.13043478260869565,1.0,0.02702702702702703,0.05263157894736842,0.05148819705781731,3class_phase16,,,,
RandomForest,0.95141065830721,0.4496482954089068,0.36898179903417794,0.38382688827243916,0.9361542801819739,0.3687436464197618,0.9576405384006335,0.9930213464696224,0.9750100765820234,,,,0.391304347826087,0.11392405063291139,0.17647058823529413,0.0,0.0,0.0,0.056962025316455694,3class_phase16,,,,
BalancedRandomForest,0.7366771159874608,0.37201600753833186,0.5234861818231525,0.3620016211876424,0.8153041724284537,0.333535619344212,0.9764327798607392,0.7483579638752053,0.8473158261677899,,,,0.10822510822510822,0.6329113924050633,0.18484288354898337,0.03139013452914798,0.1891891891891892,0.05384615384615385,0.4110502907971263,3class_phase16,,,,
CatBoost,0.9141849529780565,0.30749496515356284,0.32583238647244317,0.3123596363119725,0.919753631663733,0.4920762835879988,0.9641068447412354,0.9482758620689655,0.9561258278145696,0.15873015873015872,0.273972602739726,0.20100502512562815,0.0,0.0,0.0,0.10714285714285714,0.08108108108108109,0.09230769230769231,0.11835122794026903,4class_standard,,,,
XGBoost,0.9561128526645768,0.6352976893790206,0.2803188504652841,0.2987564758778412,0.938722548220591,0.4721424385097297,0.9578574241827491,0.9983579638752053,0.9776884422110553,0.5833333333333334,0.0958904109589041,0.16470588235294117,0.0,0.0,0.0,1.0,0.02702702702702703,0.05263157894736842,0.04097247932864371,4class_standard,,,,
