Actual,Predicted,Residual
43.0,43.84768261026085,0.847682610260847
39.0,40.49980803637334,1.499808036373338
42.0,42.62270756427894,0.6227075642789401
45.0,43.03609012577695,-1.9639098742230487
43.0,42.22158987713527,-0.7784101228647273
47.0,46.49457109858197,-0.5054289014180284
36.0,38.609232500306874,2.6092325003068737
49.0,37.103961807873894,-11.896038192126106
45.0,45.67024459734819,0.6702445973481872
37.0,37.330357034439565,0.3303570344395652
41.0,46.75428328582375,5.754283285823753
51.0,46.0918494394061,-4.908150560593903
44.0,44.48121991413473,0.48121991413473353
41.0,42.47323135160241,1.4732313516024078
37.0,37.35011144652434,0.35011144652433757
42.0,38.376922732171266,-3.6230772678287337
41.0,44.389600239229736,3.389600239229736
46.0,42.555720932436984,-3.4442790675630164
49.0,45.02313221390362,-3.9768677860963777
43.0,41.10544629456975,-1.8945537054302477
51.0,43.37495658775801,-7.625043412241993
48.0,38.73337586984773,-9.266624130152273
50.0,43.061705692109854,-6.938294307890146
35.0,39.22045672253607,4.2204567225360705
33.0,37.55811706094664,4.558117060946643
40.0,45.699928790824536,5.699928790824536
38.0,39.679531963116474,1.6795319631164745
42.0,43.34044876056654,1.340448760566538
47.0,47.88047049369846,0.8804704936984606
46.0,44.43587635568957,-1.5641236443104276
43.0,42.86080679978589,-0.13919320021410897
41.0,38.976355479444976,-2.023644520555024
44.0,43.42603668657586,-0.5739633134241373
39.0,40.80213174354102,1.8021317435410182
39.0,39.875748838174744,0.8757488381747436
43.0,41.925341150917845,-1.0746588490821551
47.0,43.20300933396916,-3.796990666030837
35.0,36.91449822260228,1.9144982226022833
39.0,41.97353886217394,2.973538862173939
50.0,43.85671045822853,-6.143289541771473
37.0,38.07592984265122,1.0759298426512203
45.0,40.69240500763792,-4.307594992362077
37.0,41.675052081252296,4.675052081252296
39.0,42.50033345932296,3.5003334593229596
39.0,38.39732745543931,-0.60267254456069
46.0,38.89710962999266,-7.102890370007337
41.0,39.95186305037703,-1.0481369496229718
37.0,37.90157205373476,0.9015720537347605
39.0,39.42031595885144,0.4203159588514396
47.0,45.164269370520245,-1.8357306294797553
40.0,42.615574905722376,2.615574905722376
38.0,40.612162049265095,2.6121620492650948
38.0,39.712469270465775,1.7124692704657747
44.0,44.447036766657504,0.44703676665750436
41.0,38.67830082344957,-2.321699176550432
39.0,41.64033367023274,2.6403336702327422
