Feature,Pearson,Mutual Information,Random Forest importance,LightGBM importance,SHAP importance,Permutation importance,Stability score,VIF,Category,Industrial meaning,Pearson norm,Mutual Information norm,Permutation importance norm,Random Forest importance norm,LightGBM importance norm,SHAP importance norm,Stability score norm,Final score,Rank
FLUX_PER_TONNE,0.023185603487359662,0.005790937953581654,0.047074526848353726,415,0.10458801252810156,0.05852503493210152,1.0,2.3410932863359233,Operational,Operational indicator relevant to EAF tap-to-tap practice.,0.06755355772375347,0.060373866417416835,0.1068910849102429,0.23130522214607768,0.45207100591715976,0.06320419776717634,0.0,0.1585465779148296,11
FLUX_TO_CARBON_RATIO,-0.08344583968659537,0.014092699398508657,0.03286789950099577,373,0.11758639993928358,0.03633944113894962,1.0,1.724292555334578,Ratios,Ratios indicator relevant to EAF tap-to-tap practice.,0.24380943870686064,0.14692451512455584,0.06637095207001115,0.16149959021454627,0.40236686390532544,0.07198767529834921,0.0,0.15752141437822376,12
DOLO_X_LIME,0.0297594262421439,0.008638260424694622,0.03277744642879562,336,0.0692616742595072,0.038812020032941784,1.0,3.7629426575822107,Interactions,Interactions indicator relevant to EAF tap-to-tap practice.,0.08678141002158413,0.09005884454983876,0.07088691076720147,0.16105514033135465,0.3585798816568047,0.039332921383008757,0.0,0.1254110417530298,13
DOLO_SQ,0.010555798579229059,0.012433374516406914,0.019551705888259087,201,0.18309284782884416,0.023654585366242507,1.0,2.491468571548158,Polynomial,Polynomial indicator relevant to EAF tap-to-tap practice.,0.030612491257180862,0.12962509669215044,0.0432031231734085,0.09606919020953897,0.19881656804733727,0.1162527364158482,0.0,0.09650124274026084,14
CPC_X_HBI,0.09780589213618379,0.009363140741912357,0.0049830019394654845,73,0.020800084177564824,0.004020046879230854,1.0,4.652104378154345,Interactions,Interactions indicator relevant to EAF tap-to-tap practice.,0.28581132676945564,0.09761613972224699,0.007342279638270219,0.02448446001964878,0.047337278106508875,0.006585683272266618,0.0,0.049320147924617905,15
DRI_TO_HBI_RATIO,-0.004174173209208992,0.007857679625570047,0.010463714836010227,150,0.02866050909976322,0.009697914852476975,1.0,1.017726105398198,Ratios,Ratios indicator relevant to EAF tap-to-tap practice.,0.011946799374092952,0.08192083974438231,0.017712430947731502,0.05141447076915648,0.13846153846153847,0.011897254893082191,0.0,0.048377681519077544,16
BUCKET_X_HBI,0.10308125892064139,0.016223299422762683,0.002070222940918838,34,0.01308633455881012,0.0014567588290852918,1.0,3.216474743808152,Interactions,Interactions indicator relevant to EAF tap-to-tap practice.,0.3012413097690143,0.1691372485857561,0.0026606482486367746,0.010172239835436274,0.001183431952662722,0.001373225425446374,0.0,0.04707423902801893,17
DOLO_X_HBI,0.06787777545130735,0.005884807141476767,0.0036781459897424324,77,0.01659451982416216,0.00344976878736174,1.0,2.5646996821755628,Interactions,Interactions indicator relevant to EAF tap-to-tap practice.,0.19827422261643493,0.061352506813172725,0.006300714366055456,0.018072924619800635,0.05207100591715976,0.0037438322921799503,0.0,0.03694843303187751,18
HBI_SQ,0.0877252052832779,0.006158046787054339,0.0026370690204715694,46,0.013334174312723513,0.0021059274892263,1.0,4.798414127643477,Polynomial,Polynomial indicator relevant to EAF tap-to-tap practice.,0.2563262059959614,0.06420118763038639,0.0038463005503005863,0.012957492649042897,0.015384615384615385,0.0015406996544385797,0.0,0.03401224330787964,19
SHIFT_LABEL,-0.016641320081163934,0.011402170966349434,0.007075474008116879,36,0.013901114556246265,0.008147485083341921,1.0,4.495563773774763,Shift,Shift indicator relevant to EAF tap-to-tap practice.,0.0484121054176507,0.11887420523391433,0.014880700555904252,0.03476602308735702,0.0035502958579881655,0.0019238015526183427,0.0,0.027577696875920966,20
SHIFT_C,-8.967430856396138e-05,0.0014647076931937342,0.002546609909732315,33,0.011054142181760374,0.002678154662395971,1.0,4.475687844300111,Shift,Shift indicator relevant to EAF tap-to-tap practice.,0.0,0.015270422048771546,0.004891425656610902,0.012513013094907736,0.0,0.0,0.0,0.004818506851427613,21
CHARGE_BALANCE_ERROR,-0.008264332136769673,0.0,0.0,37,0.020984785405948756,0.0,1.0,1.0048590431956197,Operational,Operational indicator relevant to EAF tap-to-tap practice.,0.023910153828174432,0.0,0.0,0.0,0.004733727810650888,0.006710492530382335,0.0,0.003925434689533425,22
