Feature,MI,Spearman,Spearman_p,SHAP_mean_abs,Permutation_MAE_increase,RFE_rank,Boruta_hit_rate,Stability_selection,Is_new,z_MI,z_SHAP_mean_abs,z_Permutation_MAE_increase,z_Boruta_hit_rate,z_Stability_selection,RFE_score,Robustness
FLUX_TO_CARBON_RATIO,0.014926919722141108,-0.16100451056777632,2.1762882425553572e-30,0.08564932452459599,0.002674878886309536,1,0.0,0.0,False,0.12310599560754176,0.07570299995399715,0.07827378141462345,0.0,0.0,1.0,0.15304640561244096
FLUX_PER_TONNE,0.022243258425095114,0.010526799882281345,0.45676052979867365,0.0517707875000219,0.0008440207450631417,1,0.0,0.0,False,0.18344564886454676,0.04575872542470633,0.05799810820607745,0.0,0.0,1.0,0.1505561503269598
MGO_SATURATION_PROXY,0.013395754357346412,-0.06278919621027351,8.865505792466523e-06,0.09515443497269116,-0.0002712077396378465,1,0.0,0.0,True,0.11047809647084042,0.0841042965177342,0.04564761102705212,0.0,0.0,1.0,0.14672731080535575
BURDEN_SHARE_RANGE,0.06304292851184545,-0.2474499546920614,1.2062774823891901e-70,0.054227462656865955,0.0018579570862801154,2,0.0,0.0,False,0.5199306102620741,0.047930110667004935,0.06922685468601428,0.0,0.0,0.5,0.14667463300035907
BUCKET_X_DOLO,0.0627972378862296,0.3254921227416188,9.961581673088249e-124,0.032891407829465445,7.325804134694636e-05,2,0.0,0.0,False,0.5179043389588919,0.029071779132197068,0.049462366222678335,0.0,0.0,0.5,0.13770321172851258
VIRGIN_BURDEN_RATIO,0.09018755304698445,-0.34035789473477623,7.875157172212667e-136,0.012434884409254714,-0.0005087223728634793,4,0.0,0.0,False,0.7437990366350314,0.010990840372493994,0.04301727666250536,0.0,0.0,0.25,0.13720673520657725
DRI_FRAC,0.08201794809883367,-0.269206433708785,9.36383273669162e-84,0.022887929016554318,0.001790720979190567,4,0.0,0.0,False,0.6764222857993848,0.020229988956769005,0.0684822544876426,0.0,0.0,0.25,0.13450300529232645
DOLO_X_HM,0.0,-0.0397518366792384,0.00493436479552129,0.08463535365721939,0.0023525570855896425,1,0.0,0.0,False,0.0,0.07480677996682934,0.0747042577294418,0.0,0.0,1.0,0.13364254653748142
RELATIVE_CHARGE_DEVIATION,0.03620387640179956,0.22584648085678846,7.547182567949666e-59,0.0,0.0,8,0.0,0.5,False,0.2985823151902518,0.0,0.04865107665698994,0.0,0.49999999999949996,0.125,0.12951756260986075
SQRT_CPC,0.03038117372781013,0.19923015407219938,6.227383788221422e-46,0.08133594971249324,0.009389436222041914,2,0.0,0.0,True,0.2505610473633122,0.07189053073705177,0.15263354048731342,0.0,0.0,0.5,0.12894064074331635
DOLO_PER_TONNE,0.003948939508964244,-0.05452775113416846,0.00011450574785353736,0.05305739569194303,-0.00018762145218568596,1,0.0,0.0,False,0.03256787997083628,0.0468959217824645,0.04657327982187302,0.0,0.0,1.0,0.1259238184055019
DRI_DOMINANCE,0.0819817971575123,-0.269206413328076,9.36411028507047e-84,0.020446842105244115,0.0006966196123997884,5,0.0,0.0,False,0.6761241400528839,0.018072381720981048,0.05636572766870983,0.0,0.0,0.2,0.1257812905433386
LIME_PER_TONNE,0.0,0.03275500200650132,0.020548947072246634,0.07424450160623895,-0.0014001115401718704,1,0.0,0.0,False,0.0,0.06562260161278442,0.03314566779734285,0.0,0.0,1.0,0.1230347839625504
DRI_FRAC_SQ,0.08255337826766862,-0.269206433708785,9.36383273669162e-84,0.0,0.0,6,0.0,0.0,True,0.6808381107143516,0.0,0.04865107665698994,0.0,0.0,0.16666666666666666,0.11661783670045005
DRI_UTILIZATION,0.08208448141426672,-0.269206433708785,9.36383273669162e-84,0.0,0.0,8,0.0,0.0,True,0.6769710024931115,0.0,0.04865107665698994,0.0,0.0,0.125,0.11127586570536471
