Source,Target,Spearman,PartialCorr,AbsPartial,Direct_vs_indirect
HM_DRI_SCRAP_PRODUCT,HM_X_OXY_NORM,-0.15743530801322658,-0.10406470807285405,0.10406470807285405,likely_direct
BUCKET_UTILIZATION,HM_X_OXY_NORM,-0.16869504721138207,0.10210331956695771,0.10210331956695771,likely_direct
HM_DRI_SCRAP_PRODUCT,OXYGEN_PER_TONNE,-0.07057580824082514,0.10072904547733029,0.10072904547733029,likely_direct
BURDEN_SYMMETRY,HM_DRI_SCRAP_PRODUCT,0.681429375750857,0.09740427161209601,0.09740427161209601,likely_direct
BURDEN_IMBALANCE,HM_UTILIZATION,0.027488314008282715,-0.09721433756580102,0.09721433756580102,likely_direct
CHEMICAL_ENERGY_PROXY,BUCKET_X_CPC,0.27444633655422757,-0.09719742742946297,0.09719742742946297,likely_direct
BURDEN_SYMMETRY,FLUX_SATURATION_INDEX,-0.3625256537671954,0.09601940945678562,0.09601940945678562,likely_direct
CHARGE_DIVERSITY_INDEX,FLUX_SATURATION_INDEX,-0.41216452867194275,0.09553380082428345,0.09553380082428345,likely_direct
BURDEN_IMBALANCE,BUCKET_X_CPC,0.5804578850899696,-0.09221123362213829,0.09221123362213829,likely_direct
CHARGE_DIVERSITY_INDEX,BUCKET_X_CPC,0.8310556845291636,-0.09200969960724079,0.09200969960724079,likely_direct
HM_DRI_SCRAP_PRODUCT,HM_TO_DRI_RATIO,0.6199541556437277,-0.09178748717055853,0.09178748717055853,likely_direct
CHARGE_DIVERSITY_INDEX,HM_X_OXY_NORM,-0.2140920524248366,0.08963300970927611,0.08963300970927611,likely_direct
LIQUID_METAL_DOMINANCE,SLAG_CHEMISTRY_PROXY,-0.10020017281972968,-0.0875006329637565,0.0875006329637565,likely_direct
SLAG_CHEMISTRY_PROXY,SOLID_BURDEN_RATIO,0.10020039044693653,0.08750063296373188,0.08750063296373188,likely_direct
CHARGE_DIVERSITY_INDEX,OXYGEN_PER_TONNE,0.00443289586228897,-0.08723336354532715,0.08723336354532715,likely_direct
CHEMICAL_ENERGY_PROXY,SOLID_BURDEN_RATIO,0.13017910813939487,-0.08682824973907755,0.08682824973907755,likely_direct
LIQUID_METAL_DOMINANCE,CHEMICAL_ENERGY_PROXY,-0.13017901997911172,0.08682824973904445,0.08682824973904445,likely_direct
DRI_UTILIZATION,OXYGEN_PER_TONNE,0.048916146235112735,-0.0838345338937334,0.0838345338937334,likely_direct
LIQUID_METAL_DOMINANCE,FLUX_SATURATION_INDEX,0.32477049220218346,0.08289336969881396,0.08289336969881396,likely_direct
FLUX_SATURATION_INDEX,SOLID_BURDEN_RATIO,-0.32477025741445387,-0.08289336969878239,0.08289336969878239,likely_direct
HM_TO_DRI_RATIO,BUCKET_X_CPC,0.7135685106267252,-0.08173184757974016,0.08173184757974016,likely_direct
FLUX_SATURATION_INDEX,CHEMICAL_ENERGY_PROXY,-0.007011237174797297,0.08171970526409682,0.08171970526409682,likely_direct
FLUX_SATURATION_INDEX,MGO_SATURATION_PROXY,0.056728853542329226,0.08098853768177726,0.08098853768177726,likely_direct
FLUX_SATURATION_INDEX,FOAM_SLAG_PROXY,-0.05202752204303871,-0.0788782346002058,0.0788782346002058,likely_indirect_or_weak
