Heat Number,TTT,KMeans,GMM,Hierarchical,DBSCAN,PC1,PC2,HM,DRI,Bucket,OXY,CPC,LIME,DOLO,T C
4515125,51.0,1,1,1,1,5.439103340233686,4.381527974026478,62.76,33.8,25.12,2795.0,901.0,10.0,1.2,121.68
4515126,37.0,0,0,0,0,-3.734873133172821,1.3306662359126167,61.9,60.0,0.0,3418.0,230.0,11.3,1.4,121.9
4515127,37.0,0,0,0,0,-2.4637860368463596,0.09875295115623718,65.52,65.8,0.0,3440.0,488.0,10.0,1.2,131.32
4515128,37.0,0,0,0,0,-3.4332134403584105,1.3417420984606212,63.93,60.1,0.0,3464.0,748.0,10.5,2.2,124.03
4515129,36.0,0,0,0,0,-3.0931486144598765,3.656329473963457,68.79,59.2,0.0,3362.0,740.0,9.9,2.0,127.99000000000001
4515130,33.0,0,0,0,0,-2.0461108651081363,0.7203539257775436,60.24,61.5,0.0,3128.0,753.0,9.2,0.8,121.74000000000001
4515131,41.0,0,0,0,0,-3.072881828108178,-1.1209133480514442,62.8,65.3,0.0,3681.0,780.0,11.6,1.0,128.1
4515132,39.0,0,0,0,-1,-1.681918779708364,0.7489959073930791,65.46000000000001,64.3,0.0,3677.0,955.0,9.0,1.4,129.76
4515133,37.0,0,0,0,0,-3.0178172925541875,0.4368311002251412,69.01,66.5,0.0,3371.0,602.0,11.9,1.6,135.51
4515134,35.0,0,0,0,-1,-4.338662948277335,7.442022457793351,70.09,53.7,0.0,3398.0,308.0,10.2,2.0,123.79
4515135,34.0,0,0,0,-1,-3.8725316206107308,8.537986044603297,69.26,51.6,0.0,2895.0,474.0,9.6,1.6,120.86000000000001
4515136,38.0,1,1,1,-1,9.415941581559522,1.9673988444954362,57.62,29.0,35.25,3297.0,1041.0,7.5,1.4,121.87
4515137,42.0,0,0,0,0,-3.784034991178252,4.5439733909873095,66.41,55.7,0.0,3218.0,555.0,10.2,2.0,122.11
4515138,35.0,0,0,0,0,-2.838661253502409,3.9819582524063573,63.58,55.2,0.0,2950.0,980.0,9.5,1.6,118.78
4515139,37.0,0,0,0,-1,-2.0770416901333935,0.8618798360600539,68.44,66.3,0.0,3264.0,755.0,9.9,1.7,134.74
4515140,40.0,1,1,1,-1,4.794433327749291,7.094440699903409,69.88,33.1,24.74,3589.0,452.0,8.9,1.4,127.71999999999998
4515141,40.0,1,1,1,-1,2.858325295913482,5.994014148896987,68.61,42.1,14.91,3430.0,719.0,9.0,1.5,125.62
4515142,56.0,0,0,0,0,-2.760359312647432,-0.22422372491538115,62.27,64.0,0.0,3441.0,631.0,9.9,1.5,126.27000000000001
4515143,34.0,0,0,0,0,-3.1437379281950566,0.3735133927919128,61.16,61.5,0.0,3267.0,629.0,10.1,1.7,122.66
4515144,38.0,0,0,0,0,-2.9138772360996152,-1.5369979460895016,56.67,62.5,0.0,3362.0,974.0,10.7,1.3,119.17
4515145,33.0,0,0,0,0,-3.186999711688452,1.7432363641313704,61.01,57.6,0.0,3203.0,919.0,10.4,1.7,118.61
4515146,40.0,1,1,1,1,2.8219850802067468,1.3291820900681888,60.41,48.7,13.3,3562.0,520.0,9.4,1.6,122.41
4515147,40.0,1,1,1,1,2.917285188095981,-0.17719313130434883,58.25,51.9,11.59,3230.0,771.0,9.8,1.7,121.74000000000001
4515148,38.0,1,1,1,-1,3.0428816019295377,3.174769840131245,61.92,46.4,12.75,3090.0,771.0,9.0,1.5,121.07
4515149,39.0,1,1,1,-1,3.3261042466666164,-1.3244827116147666,57.84,54.3,11.76,3472.0,773.0,9.7,1.3,123.9
4515150,40.0,0,0,0,-1,-3.6645793081197886,6.416699043224985,71.1,55.9,0.0,4012.0,498.0,10.0,1.5,127.0
4515151,34.0,0,0,0,0,-3.2098610589381327,-0.95014436537055,56.4,62.4,0.0,3442.0,343.0,10.4,1.1,118.8
4515152,36.0,0,0,0,0,-3.0981451019183717,-0.5822503414585938,60.65,63.2,0.0,3593.0,637.0,10.5,1.3,123.85
4515153,37.0,1,1,1,1,5.508994484931637,3.598486907338551,57.63,36.6,21.86,3426.0,424.0,8.0,0.6,116.09
4515154,37.0,0,0,0,0,-2.8923643238909906,0.7300942279685185,58.65,60.1,0.0,3036.0,464.0,10.0,1.0,118.75
4515155,40.0,0,0,0,0,-2.989281186924163,4.618589249318698,65.92,56.7,0.0,3112.0,420.0,9.4,1.4,122.62
4515156,41.0,1,1,1,1,4.311846691899773,3.239446388250983,65.0,42.3,19.49,3454.0,695.0,9.5,1.4,126.78999999999999
4515158,42.0,0,0,0,-1,-3.8303241438945004,5.757607132650066,73.85,56.4,0.0,6789.0,428.0,10.9,1.8,130.25
4515159,46.0,1,1,1,-1,3.7094036437076725,4.449831130294213,69.94,42.8,18.56,3486.0,800.0,9.5,1.5,131.29999999999998
4515160,39.0,0,0,0,-1,-3.2597213815621986,8.590343346790052,67.87,52.2,0.0,3248.0,113.0,8.1,1.5,120.07000000000001
4515161,39.0,0,0,0,-1,-3.8121973693755087,6.720541718785355,69.25,53.8,0.0,3326.0,868.0,10.5,1.5,123.05
4515162,34.0,0,0,0,-1,-2.902511026669398,3.153345375294697,70.12,60.1,0.0,3456.0,914.0,10.7,1.4,130.22
4515164,36.0,0,0,0,-1,-2.265763187442119,1.3826455728230487,62.28,59.8,0.0,3524.0,994.0,8.5,2.2,122.08
4515165,34.0,0,0,0,0,-3.3532268062000465,4.04151461367835,63.61,54.8,0.0,3226.0,818.0,9.5,2.0,118.41
4515166,34.0,0,0,0,-1,-2.9351019645662175,4.882588566937531,61.42,51.6,0.0,3260.0,1081.0,8.4,2.0,113.02000000000001
4515167,41.0,1,1,1,-1,2.7363420382750445,3.091552445493155,58.39,38.5,16.5,3684.0,888.0,10.0,2.0,113.39
4515168,40.0,1,1,1,-1,3.293831103963948,7.574328833210904,57.88,31.9,15.5,3106.0,1054.0,7.7,1.8,105.28
4515169,34.0,0,0,0,-1,-1.1112180581440945,5.163504798133602,66.8,57.2,0.0,3342.0,907.0,6.3,1.6,124.0
4515170,40.0,0,0,0,-1,-3.626579059415692,3.1073557618946004,71.26,58.9,0.0,3991.0,1101.0,11.5,2.0,130.16
4515171,43.0,1,1,1,-1,5.128827592193166,0.20254015312447374,59.58,49.4,17.07,3531.0,796.0,7.7,1.1,126.04999999999998
4515172,43.0,1,1,1,-1,2.546510620811786,4.449653574766088,64.66,45.9,11.92,3347.0,684.0,9.4,1.2,122.48
4515173,43.0,1,1,1,-1,2.7290624885808152,2.3464775986541975,64.41,48.2,11.59,3728.0,1202.0,10.5,1.3,124.2
4515174,44.0,1,1,1,1,3.3949405083236894,-0.48333659254422434,57.91,50.4,13.58,3455.0,826.0,9.5,1.6,121.89
4515175,41.0,0,0,0,0,-3.034015829021441,2.345747957135617,56.84,55.2,0.0,2847.0,492.0,9.2,1.7,112.04
4515176,35.0,0,1,0,-1,-4.299403655734726,11.13170293379788,67.94,45.6,0.0,3258.0,636.0,8.7,1.6,113.53999999999999
4515177,32.0,0,0,0,-1,-3.697581402086627,8.307093499409609,64.87,50.3,0.0,3038.0,257.0,8.7,1.5,115.17
4515178,34.0,0,0,0,0,-3.4115201771936094,5.819163295886563,65.57,54.2,0.0,3210.0,188.0,9.0,1.7,119.77
4515179,34.0,0,0,0,0,-2.8536591928072554,4.393216224824206,62.11,54.8,0.0,3199.0,477.0,8.6,1.5,116.91
4515180,39.0,1,1,1,-1,4.924249255204867,5.311779257890109,63.12,31.5,26.9,3243.0,227.0,9.6,1.7,121.52000000000001
4515181,37.0,1,1,1,1,3.291876850542343,1.6233506692658288,57.79,47.2,13.86,3226.0,408.0,8.6,1.5,118.85000000000001
4515182,48.0,1,1,1,1,2.3520726006047785,1.712214853076699,59.04,47.8,12.2,3155.0,528.0,9.8,1.8,119.04
4515183,37.0,0,0,0,-1,-3.7582290675987613,7.629567854140937,70.41,53.8,0.0,3082.0,528.0,9.7,1.8,124.21
4515184,36.0,0,0,0,-1,-3.696852437578296,9.725251114132625,69.67,50.1,0.0,3132.0,347.0,9.0,1.2,119.77000000000001
4515185,38.0,1,1,1,-1,3.371596520259197,6.950700652983338,60.37,36.1,15.9,3062.0,497.0,8.0,0.8,112.37
4515186,47.0,0,0,0,-1,-3.157511800812988,10.663010521036732,71.42,50.1,0.0,2994.0,290.0,8.0,1.2,121.52000000000001
4515187,47.0,1,1,1,-1,5.278656315817074,6.886646471259066,66.92,34.5,22.53,3655.0,540.0,7.6,1.0,123.95
4515188,39.0,1,1,1,1,3.4272419122869646,2.1642677383735656,57.77,43.9,16.01,2954.0,476.0,9.3,1.2,117.68
4515189,41.0,1,1,1,1,4.154125490074365,3.499409470978064,56.7,41.3,15.74,2963.0,566.0,7.6,1.1,113.74
4515190,35.0,0,0,0,0,-2.668745001569686,4.629137031796463,62.39,55.1,0.0,2727.0,406.0,8.7,1.4,117.49000000000001
4515191,38.0,1,1,1,-1,5.142188226223367,6.6979573096437,63.49,35.0,21.43,3185.0,307.0,7.2,1.1,119.92000000000002
4515192,44.0,1,1,1,-1,3.0038937133856027,6.685218266153018,62.64,41.2,12.2,3391.0,482.0,7.6,0.9,116.04
4515193,39.0,0,0,0,0,-2.8687132538958515,1.0724420398478822,58.47,59.4,0.0,3050.0,395.0,9.5,1.2,117.87
4515194,40.0,1,1,1,1,5.157848213120547,1.8924647472173999,57.13,40.9,21.04,3363.0,332.0,8.3,1.3,119.07
4515195,37.0,0,0,0,0,-3.49226803881827,5.302308096228891,66.63,55.4,0.0,3401.0,266.0,10.1,1.1,122.03
4515196,35.0,0,0,0,0,-3.8621932757245614,6.5436132288999485,66.72,54.2,0.0,3351.0,279.0,10.2,1.2,120.92
4515197,34.0,0,0,0,0,-3.799880603291498,5.106082269857135,67.34,55.1,0.0,3284.0,555.0,10.8,1.3,122.44
4515198,36.0,1,1,1,1,5.6691478073745065,4.568995376572985,57.77,33.1,23.42,3460.0,426.0,7.7,1.0,114.29
4515199,36.0,0,0,0,-1,-4.384597836059769,7.252102471078055,67.14,52.2,0.0,3286.0,412.0,10.0,2.0,119.34
4515200,39.0,1,1,1,1,2.523988855953294,3.6315519781060654,60.63,42.1,14.85,3620.0,499.0,9.8,1.1,117.58
4515201,39.0,0,0,0,-1,-3.8451997362715162,9.218365453013728,72.67,52.0,0.0,3169.0,498.0,9.1,2.0,124.67
4515202,34.0,0,0,0,-1,-4.445584397901976,7.007034547130119,67.75,52.6,0.0,3396.0,515.0,10.3,2.0,120.35
4515203,38.0,1,1,1,1,4.638627329050029,2.7580202452595097,56.58,34.7,23.1,3296.0,518.0,9.7,1.9,114.38
4515204,38.0,0,0,0,0,-4.096970334749157,5.793649007799178,66.87,54.5,0.0,3340.0,633.0,10.3,2.0,121.37
4515205,36.0,0,0,0,0,-3.8858399903331513,1.7940524997217058,64.04,59.0,0.0,3672.0,586.0,11.0,2.0,123.04
4515206,40.0,1,1,1,1,2.9866659456550972,1.454793485582994,57.92,42.0,17.5,3620.0,586.0,10.1,1.9,117.42
4515207,37.0,0,0,0,0,-3.674980667875486,4.608871189303665,68.93,56.4,0.0,3621.0,651.0,10.1,2.0,125.33000000000001
4515208,41.0,1,1,1,1,2.7133064154504507,1.3325190327663512,59.95,47.6,13.5,3561.0,651.0,10.1,1.2,121.05000000000001
4515209,36.0,0,0,0,0,-2.6652677306497217,3.602799160184673,66.27,58.8,0.0,3280.0,615.0,9.5,1.3,125.07
4515210,35.0,0,0,0,0,-3.257292620550581,3.5002791510163376,70.66,60.4,0.0,3298.0,641.0,11.1,1.5,131.06
4515211,33.0,0,0,0,0,-3.764202566417677,3.876762656168659,64.50999999999999,56.6,0.0,2918.0,340.0,10.8,1.6,121.10999999999999
4515212,39.0,1,1,1,1,6.919198178871558,0.944423564949336,56.49,35.0,28.61,3719.0,611.0,8.6,1.5,120.10000000000001
