,BURDEN_ENTROPY,CHARGE_DIVERSITY_INDEX,BURDEN_SYMMETRY,BURDEN_IMBALANCE,LIQUID_METAL_DOMINANCE,SOLID_BURDEN_COMPACTNESS,HM_UTILIZATION,DRI_UTILIZATION,BUCKET_UTILIZATION,FLUX_SATURATION_INDEX,SLAG_CHEMISTRY_PROXY,BASICITY_PROXY,MGO_SATURATION_PROXY,FLUX_EFFICIENCY,CARBON_EFFICIENCY,FOAM_SLAG_PROXY,CHEMICAL_ENERGY_PROXY,OXYGEN_EXCESS_INDEX,HM_OXY_COORDINATION,HM_DRI_SCRAP_PRODUCT,SOLID_BURDEN_RATIO,HM_TO_DRI_RATIO,OXYGEN_PER_TONNE,BUCKET_X_CPC,HM_X_OXY_NORM,TTT
SLAG_CHEMISTRY_PROXY,0.14238729715280576,-0.10956206638327867,-0.10502177249707023,-0.025315610513330575,-0.08750063296373109,-0.0520911929149963,-0.3306257541674097,0.11667303642685,0.0593185621167327,0.9621460049599276,1.0,-0.3953169119954173,-0.040449919420865094,0.05686435622970287,-0.025365409036401422,0.06424049928015839,-0.0717989360436378,-0.010678983861751156,0.01182773431582718,-0.043482503270873975,0.08750063296373188,-0.1586272175844412,-0.01331191174294857,-0.021516967792620974,0.021317454130609096,0.038938768684188066
BASICITY_PROXY,0.06724501506563668,0.0771082226803566,-0.039352119912343046,-0.06856773210499012,-0.20801401251154739,0.0025987041333903776,0.3822897653810009,0.26672644888449265,0.422248039130444,0.4168173505762685,-0.3953169119954192,1.0,-0.056257486465928486,0.13347341461349949,-0.02206021190293623,0.02328240700859758,-0.020742478552030822,0.010072524319861022,-0.009677236154240485,-0.3662997560237232,0.20801401251158097,-0.37110640363284236,-0.05223474045983392,-0.059417257622752136,0.05770482947100902,-0.01496420344522082
MGO_SATURATION_PROXY,-0.017826782313912923,0.000959277635725368,-0.027091294056669987,-0.012346387817171501,-0.011270436862372122,0.022004908177463162,-0.005400348413349844,-0.006937062622288819,-0.0061170279597308015,0.08098853768178131,-0.04044991942086934,-0.05625748646592912,1.0,0.23582817678924856,0.018378569057409175,0.017269898330831295,-0.03248146226690863,0.00900078981988477,-0.008672373408878003,0.010908924287687003,0.011270436862370743,-0.03475457256754284,0.025551156247030846,-0.030747731233857482,0.003606647303362089,-0.03316490516225211
FLUX_EFFICIENCY,0.019048757845308812,-0.030451226271663957,-0.016816817109050978,-0.0351172846573521,0.009816239963521047,0.004703712519500125,0.07104875419398238,-0.04335248897841797,-0.04735606855319936,-0.29431562689411556,0.0568643562297075,0.13347341461350196,0.23582817678924856,1.0,0.04927661882584451,-0.053130910427082886,0.04455295788510247,-0.00251207377478916,0.002130923298633376,0.03753690180539803,-0.009816239963538498,0.11581978135474057,0.03618540286875855,0.03708720443524676,-0.013961838391219434,0.007962293672058005
CARBON_EFFICIENCY,0.03018394614094026,-0.029943389188449732,-0.04201685663378134,-0.03569410952290043,-0.04889580741542635,-0.10521381136603167,0.051704170361572516,-0.03165961116854991,-0.024457729479316345,0.04181620372246928,-0.02536540903640747,-0.022060211902942228,0.018378569057409404,0.04927661882584075,1.0,0.7714900250975625,-0.571775263972202,0.05355394720178174,-0.05649870633833304,0.0122546808982989,0.04889580741541701,0.01703240499180791,-0.01780464532037983,0.0036488065500380955,-0.20874915757683807,0.049570768631236904
FOAM_SLAG_PROXY,-0.03443233370933502,0.044461700332250574,0.016991759785556792,0.03489604863443939,-0.05079684330755592,0.020840539196143905,0.016953239013140643,0.031118496331424942,0.007104801458121713,-0.07887823460021247,0.06424049928016684,0.02328240700860535,0.017269898330830525,-0.053130910427076794,0.7714900250975569,1.0,0.9597827440478846,0.024269362131132864,-0.0245118851252862,-0.023358094887435,0.050796843307535984,-0.003592842693528276,-0.3152670813181814,0.11775795617295036,0.37410441285167273,-0.054812483107886015
CHEMICAL_ENERGY_PROXY,0.030480368844189882,-0.039722263945919795,-0.005648393734725612,-0.026025636752676762,0.08682824973910926,0.01622016410834613,-0.03865876333008628,-0.019157065916007642,0.0022833631843044047,0.0817197052641039,-0.07179893604364672,-0.020742478552037237,-0.032481462266907776,0.04455295788509622,-0.571775263972195,0.9597827440478824,1.0,-0.0250507646866839,0.026105766654521318,0.0171565569107037,-0.08682824973907755,-0.0007484947959742297,0.4228480657646836,-0.09719742742946297,-0.39622517573946486,0.05781780507567824
OXYGEN_EXCESS_INDEX,-0.010758572238293514,0.0120307830499989,0.033928802687592984,0.022660657571114344,0.028193953318689017,0.020203874091256863,-0.024347356471319543,0.023862432568940134,0.021740753444557982,0.009544241199443828,-0.010678983861735342,0.010072524319837352,0.009000789819885642,-0.0025120737747920084,0.053553947201784684,0.02426936213112655,-0.025050764686677354,1.0,0.9967802319484496,-0.00882277736944932,-0.028193953318669075,0.005341536562510001,0.021537562485883132,-0.037291200931505404,-0.017461205129083196,-0.013462764480801288
HM_OXY_COORDINATION,0.010596545709902493,-0.011597091795419727,-0.03302469685447846,-0.021880967859354186,-0.02792476505956892,-0.02030572680853994,0.025190144999644726,-0.02325244856406683,-0.021512621303302646,-0.01097706511231454,0.011827734315811316,-0.009677236154216895,-0.008672373408878857,0.0021309232986362783,-0.056498706338335786,-0.02451188512528014,0.026105766654515007,0.9967802319484496,1.0,0.008480730022544444,0.027924765059549175,-0.005072414732432304,-0.02227122124359646,0.03882288000082906,0.01699329094271235,0.01544312677828479
HM_DRI_SCRAP_PRODUCT,-0.43797242119436786,0.7503192057269235,0.09740427161210688,0.255615246706661,0.2944040430202709,0.2913911582337747,0.37901055079542073,0.8310880617073092,0.9481700589957031,0.05343992160473983,-0.04348250327082923,-0.3662997560236932,0.010908924287686667,0.03753690180538268,0.012254680898318387,-0.023358094887459848,0.01715655691072537,-0.008822777369398217,0.008480730022493867,1.0,-0.29440404301987855,-0.09178748717055853,0.10072904547733029,0.11638594373250837,-0.10406470807285405,0.015196878659806705
SOLID_BURDEN_RATIO,-0.26303413408851223,0.3354309754134675,0.20356689238833686,0.2660679124258419,1.0000000000003828,0.8996410413383275,-0.5008278963334853,0.33096751341819314,0.28695570094278816,-0.08289336969880569,0.08750063296376052,0.2080140125114447,0.011270436862375863,-0.009816239963522001,0.0488958074154405,0.05079684330752313,-0.08682824973907564,-0.028193953318694245,0.02792476505957443,-0.2944040430205743,1.0,0.06540367079099857,0.7968002660197595,0.023311387717914304,-0.8297699717815171,0.009910704406128153
HM_TO_DRI_RATIO,0.3093056149610808,-0.26514894459385496,-0.14348618331932517,-0.22626776146597122,-0.06540367079094207,0.06091764740496394,0.012978400537064453,-0.1627676887306468,0.1312126063247916,0.18154224218159798,-0.15862721758446485,-0.37110640363285574,-0.03475457256754246,0.11581978135474605,0.017032404991803474,-0.0035928426935227585,-0.0007484947959792002,0.005341536562503369,-0.005072414732425702,-0.09178748717057364,0.06540367079086291,1.0,0.044071575793143775,-0.08173184757974016,-0.038600199091285446,0.021438174659481998
OXYGEN_PER_TONNE,0.07082568014614736,-0.08723336354527053,-0.03574717252760171,-0.026093886295185737,-0.7968002660198278,-0.8274320851196613,0.3625582992775982,-0.08383453389367404,-0.11004683853466775,0.031980581634031835,-0.013311911742952461,-0.05223474045985728,0.025551156247028573,0.03618540286877058,-0.01780464532040475,-0.3152670813181515,0.4228480657646546,0.021537562485890133,-0.022271221243603694,0.10072904547727547,0.796800266019582,0.04407157579315365,1.0,0.05160400525184503,0.9369445250892963,-0.01876728683054451
BUCKET_X_CPC,0.017547440388757454,-0.09200969960722678,0.002502056332213311,-0.0922112336221299,-0.023311387717869198,0.03687438705902622,-0.02632154373970241,-0.13537247610914768,0.013945497968173133,0.027572362290980302,-0.02151696779262543,-0.05941725762276132,-0.030747731233856934,0.03708720443524742,0.003648806550037697,0.11775795617295114,-0.09719742742946372,-0.037291200931508076,0.038822880000831686,0.11638594373249468,0.02331138771783002,-0.08173184757974056,0.05160400525183914,1.0,-0.047053398146159525,-0.005073114555396365
HM_X_OXY_NORM,-0.07084118249576718,0.08963300970921863,0.02302077260227618,0.024337289053358316,0.8297699717815931,0.8581310278987427,-0.38162521410280537,0.0771274681045108,0.10210331956690126,-0.024322814078962866,0.02131745413061441,0.05770482947103385,0.003606647303364493,-0.013961838391232273,-0.20874915757681306,0.37410441285164314,-0.39622517573943605,-0.017461205129091252,0.016993290942720653,-0.10406470807279768,-0.8297699717813384,-0.038600199091295015,0.9369445250892977,-0.04705339814616602,1.0,0.06894687902638588
TTT,0.028445980028756097,-0.002042899857128045,-0.018304545444607346,-0.007415719679775069,-0.009910704406138853,0.049332025046514905,0.04740101726702052,0.009820107517729318,0.01105825922926998,-0.02814361782458694,0.03893876868418563,-0.014964203445220054,-0.03316490516225182,0.007962293672058045,0.049570768631236044,-0.05481248310788564,0.05781780507567812,-0.013462764480799428,0.015443126778282945,0.015196878659819103,0.009910704406134702,0.02143817465947712,-0.01876728683054938,-0.005073114555397871,0.06894687902639084,1.0
