Heat Number,Date,Shift,HM,DRI,HBI,Bucket,LIME,DOLO,CPC,POWER,OXY,T C,TTT
4515099,2025-04-04 00:00:00,C,39.36,50.4,0.0,0.0,9.1,1.6,894.0,28459.0,2306.0,89.75999999999999,34.0
4515100,2025-04-04 00:00:00,C,50.0,40.5,0.0,17.5,9.4,1.6,646.0,38100.0,3469.0,108.0,43.0
4515101,2025-04-04 00:00:00,A,56.14,35.0,0.0,18.5,8.9,1.2,606.0,33546.0,3114.0,109.64,43.0
4515102,2025-04-04 00:00:00,A,61.88,60.7,0.0,0.0,9.7,2.0,889.0,35810.0,2894.0,122.58,39.0
4515103,2025-04-04 00:00:00,A,57.57,55.1,0.0,0.0,4.8,2.0,995.0,32794.0,3098.0,112.67,37.0
4515104,2025-04-04 00:00:00,A,57.76,68.4,0.0,0.0,5.1,3.6,1500.0,35212.0,4224.0,126.16,45.0
4515105,2025-04-04 00:00:00,A,60.65,58.3,0.0,0.0,11.7,2.6,304.0,30979.0,3716.0,118.95,44.0
4515106,2025-04-04 00:00:00,A,61.97,70.2,0.0,0.0,11.0,2.0,881.0,38431.0,4272.0,132.17000000000002,47.0
4515107,2025-04-04 00:00:00,A,57.94,62.7,0.0,0.0,9.6,1.9,892.0,34332.0,3188.0,120.64,44.0
4515108,2025-04-04 00:00:00,A,61.5,63.6,0.0,0.0,12.2,1.4,842.0,34667.0,3929.0,125.1,42.0
4515109,2025-04-04 00:00:00,A,56.18,32.8,0.0,26.2,7.5,0.6,830.0,32908.0,3370.0,115.18,37.0
4515110,2025-04-04 00:00:00,A,53.34,60.7,0.0,0.0,10.4,1.0,930.0,33260.0,3534.0,114.04,37.0
4515111,2025-04-04 00:00:00,A,67.12,47.7,0.0,14.1,9.7,1.1,1101.0,35851.0,3311.0,128.92000000000002,42.0
4515112,2025-04-04 00:00:00,B,59.69,60.1,0.0,0.0,9.5,1.4,464.0,34106.0,3217.0,119.79,37.0
4515113,2025-04-04 00:00:00,B,55.85,47.1,0.0,15.01,9.7,1.1,355.0,34459.0,3251.0,117.96,44.0
4515114,2025-04-04 00:00:00,B,62.05,63.5,0.0,0.0,11.0,1.4,592.0,32348.0,3231.0,125.55,39.0
4515115,2025-04-04 00:00:00,B,68.53,59.0,0.0,0.0,10.3,1.3,604.0,31976.0,3489.0,127.53,37.0
4515116,2025-04-04 00:00:00,B,58.77,40.2,0.0,24.24,8.6,1.0,458.0,33400.0,3229.0,123.21,41.0
4515117,2025-04-04 00:00:00,B,66.5,45.1,0.0,12.2,8.8,1.0,382.0,32800.0,3435.0,123.8,41.0
4515118,2025-04-04 00:00:00,B,57.36,51.4,0.0,11.97,9.2,0.8,507.0,33824.0,3174.0,120.73,47.0
4515119,2025-04-04 00:00:00,B,72.99,57.1,0.0,0.0,9.7,1.3,528.0,32956.0,3666.0,130.09,43.0
4515120,2025-04-04 00:00:00,B,58.48,58.7,0.0,0.0,9.3,1.3,548.0,30772.0,2786.0,117.18,33.0
4515121,2025-04-04 00:00:00,B,71.18,55.1,0.0,0.0,9.0,0.9,460.0,31701.0,3253.0,126.28,35.0
4515123,2025-04-04 00:00:00,B,60.25,55.4,0.0,0.0,8.7,0.7,433.0,28667.0,2978.0,115.65,30.0
4515124,2025-04-04 00:00:00,B,59.1,60.8,0.0,0.0,11.3,0.8,433.0,37367.0,3597.0,119.9,38.0
4515125,2025-04-05 00:00:00,C,62.76,33.8,0.0,25.12,10.0,1.2,901.0,29126.0,2795.0,121.68,51.0
4515126,2025-04-05 00:00:00,C,61.9,60.0,0.0,0.0,11.3,1.4,230.0,34159.0,3418.0,121.9,37.0
4515127,2025-04-05 00:00:00,C,65.52,65.8,0.0,0.0,10.0,1.2,488.0,33981.0,3440.0,131.32,37.0
4515128,2025-04-05 00:00:00,C,63.93,60.1,0.0,0.0,10.5,2.2,748.0,33776.0,3464.0,124.03,37.0
4515129,2025-04-05 00:00:00,C,68.79,59.2,0.0,0.0,9.9,2.0,740.0,32706.0,3362.0,127.99,36.0
4515130,2025-04-05 00:00:00,C,60.24,61.5,0.0,0.0,9.2,0.8,753.0,32244.0,3128.0,121.74,33.0
4515131,2025-04-05 00:00:00,C,62.8,65.3,0.0,0.0,11.6,1.0,780.0,36460.0,3681.0,128.1,41.0
4515132,2025-04-05 00:00:00,C,65.46000000000001,64.3,0.0,0.0,9.0,1.4,955.0,36452.0,3677.0,129.76,39.0
4515133,2025-04-05 00:00:00,C,69.01,66.5,0.0,0.0,11.9,1.6,602.0,33829.0,3371.0,135.51,37.0
4515134,2025-04-05 00:00:00,C,70.09,53.7,0.0,0.0,10.2,2.0,308.0,33392.0,3398.0,123.79,35.0
4515135,2025-04-05 00:00:00,C,69.26,51.6,0.0,0.0,9.6,1.6,474.0,31592.0,2895.0,120.86,34.0
4515136,2025-04-05 00:00:00,C,57.62,29.0,0.0,35.25,7.5,1.4,1041.0,32940.0,3297.0,121.87,38.0
4515137,2025-04-05 00:00:00,A,66.41,55.7,0.0,0.0,10.2,2.0,555.0,30750.0,3218.0,122.11,42.0
4515138,2025-04-05 00:00:00,A,63.58,55.2,0.0,0.0,9.5,1.6,980.0,33212.0,2950.0,118.78,35.0
4515139,2025-04-05 00:00:00,A,68.44,66.3,0.0,0.0,9.9,1.7,755.0,32755.0,3264.0,134.74,37.0
4515140,2025-04-05 00:00:00,A,69.88,33.1,0.0,24.74,8.9,1.4,452.0,35790.0,3589.0,127.72,40.0
4515141,2025-04-05 00:00:00,A,68.61,42.1,0.0,14.91,9.0,1.5,719.0,32800.0,3430.0,125.62,40.0
4515142,2025-04-05 00:00:00,A,62.27,64.0,0.0,0.0,9.9,1.5,631.0,30112.0,3441.0,126.27,56.0
4515143,2025-04-05 00:00:00,A,61.16,61.5,0.0,0.0,10.1,1.7,629.0,33157.0,3267.0,122.66,34.0
4515144,2025-04-05 00:00:00,A,56.67,62.5,0.0,0.0,10.7,1.3,974.0,32621.0,3362.0,119.17,38.0
4515145,2025-04-05 00:00:00,A,61.01,57.6,0.0,0.0,10.4,1.7,919.0,32001.0,3203.0,118.61,33.0
4515146,2025-04-05 00:00:00,A,60.41,48.7,0.0,13.3,9.4,1.6,520.0,35338.0,3562.0,122.41,40.0
4515147,2025-04-05 00:00:00,A,58.25,51.9,0.0,11.59,9.8,1.7,771.0,35208.0,3230.0,121.74,40.0
4515148,2025-04-05 00:00:00,A,61.92,46.4,0.0,12.75,9.0,1.5,771.0,34580.0,3090.0,121.07,38.0
4515149,2025-04-05 00:00:00,B,57.84,54.3,0.0,11.76,9.7,1.3,773.0,35112.0,3472.0,123.9,39.0
4515150,2025-04-05 00:00:00,B,71.1,55.9,0.0,0.0,10.0,1.5,498.0,33693.0,4012.0,127.0,40.0
4515151,2025-04-05 00:00:00,B,56.4,62.4,0.0,0.0,10.4,1.1,343.0,27991.0,3442.0,118.8,34.0
4515152,2025-04-05 00:00:00,B,60.65,63.2,0.0,0.0,10.5,1.3,637.0,31112.0,3593.0,123.85,36.0
4515153,2025-04-05 00:00:00,B,57.63,36.6,0.0,21.86,8.0,0.6,424.0,31826.0,3426.0,116.09,37.0
4515154,2025-04-05 00:00:00,B,58.65,60.1,0.0,0.0,10.0,1.0,464.0,30132.0,3036.0,118.75,37.0
4515155,2025-04-05 00:00:00,B,65.92,56.7,0.0,0.0,9.4,1.4,420.0,33347.0,3112.0,122.62,40.0
4515156,2025-04-05 00:00:00,B,65.0,42.3,0.0,19.49,9.5,1.4,695.0,35898.0,3454.0,126.79,41.0
4515157,2025-04-05 00:00:00,B,60.0,47.9,0.0,0.0,8.8,1.3,931.0,34359.0,2624.0,107.9,140.0
4515158,2025-04-05 00:00:00,B,73.85,56.4,0.0,0.0,10.9,1.8,428.0,34863.0,6789.0,130.25,42.0
4515159,2025-04-05 00:00:00,B,69.94,42.8,0.0,18.56,9.5,1.5,800.0,38661.0,3486.0,131.3,46.0
4515160,2025-04-06 00:00:00,C,67.87,52.2,0.0,0.0,8.1,1.5,113.0,31434.0,3248.0,120.07,39.0
4515161,2025-04-06 00:00:00,C,69.25,53.8,0.0,0.0,10.5,1.5,868.0,33757.0,3326.0,123.05,39.0
4515162,2025-04-06 00:00:00,C,70.12,60.1,0.0,0.0,10.7,1.4,914.0,33157.0,3456.0,130.22,34.0
4515164,2025-04-06 00:00:00,C,62.28,59.8,0.0,0.0,8.5,2.2,994.0,33937.0,3524.0,122.08,36.0
4515165,2025-04-06 00:00:00,C,63.61,54.8,0.0,0.0,9.5,2.0,818.0,31514.0,3226.0,118.41,34.0
4515166,2025-04-06 00:00:00,C,61.42,51.6,0.0,0.0,8.4,2.0,1081.0,32790.0,3260.0,113.02,34.0
4515167,2025-04-06 00:00:00,C,58.39,38.5,0.0,16.5,10.0,2.0,888.0,34190.0,3684.0,113.39,41.0
4515168,2025-04-06 00:00:00,C,57.88,31.9,0.0,15.5,7.7,1.8,1054.0,33279.0,3106.0,105.28,40.0
